x,y,file
-1633,-781,data/entities/items/kantele.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1130,-1019,data/entities/items/pickup/egg_worm.xml
-1139,-1016,data/entities/items/pickup/egg_worm.xml
798,-1084,data/entities/items/books/book_00.xml
780,-1094,data/entities/items/orbs/orb_00.xml
780,-1082,data/entities/items/orbs/orb_00.xml
-2434,-203,data/entities/items/pickup/evil_eye.xml
-2434,-203,data/entities/items/pickup/evil_eye.xml
-1327,-168,data/entities/items/books/book_tree.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1048,-477,data/entities/items/pickup/egg_worm.xml
318,316,data/entities/items/pickup/goldnugget_10.xml
1002,394,data/entities/items/pickup/thunderstone.xml
661,433,data/entities/items/pickup/goldnugget_10.xml
-1866,624,data/entities/items/pickup/heart_fullhp.xml
-1878,917,data/entities/items/pickup/heart.xml
-1065,652,data/entities/items/pickup/heart.xml
1109,515,data/entities/items/pickup/brimstone.xml
1610,642,data/entities/items/pickup/potion.xml
1792,644,data/entities/items/pickup/broken_wand.xml
2335,845,data/entities/items/books/book_corpse.xml
4323,894,data/entities/items/books/book_07.xml
4351,888,data/entities/items/orbs/orb_07.xml
4351,899,data/entities/items/orbs/orb_07.xml
-2365,1580,data/entities/items/pickup/heart.xml
-2415,1586,data/entities/items/wand_unshuffle_02.xml
-22,1410,data/entities/items/pickup/perk.xml
-2,1410,data/entities/items/pickup/perk.xml
-497,1362,data/entities/items/pickup/heart_fullhp_temple.xml
18,1410,data/entities/items/pickup/perk.xml
-465,1362,data/entities/items/pickup/spell_refresh.xml
73,1384,data/entities/items/pickup/perk_reroll.xml
-2134,1771,data/entities/items/pickup/potion.xml
-2266,1813,data/entities/items/pickup/egg_slime.xml
-2195,1797,data/entities/items/pickup/heart.xml
-2122,1842,data/entities/items/pickup/broken_wand.xml
-2374,2101,data/entities/items/pickup/potion.xml
-2528,1954,data/entities/items/pickup/potion.xml
-2335,1687,data/entities/items/wand_unshuffle_02.xml
-2365,1586,data/entities/items/pickup/heart.xml
-2415,1587,data/entities/items/wand_unshuffle_02.xml
-1565,1659,data/entities/items/pickup/chest_random.xml
-1076,1660,data/entities/items/pickup/chest_random.xml
585,2056,data/entities/items/wand_level_02.xml
1335,2005,data/entities/items/pickup/heart.xml
1554,1729,data/entities/items/pickup/chest_random.xml
3473,1900,data/entities/items/orbs/orb_03.xml
3496,1904,data/entities/items/books/book_03.xml
3473,1911,data/entities/items/orbs/orb_03.xml
