x,y,file
-1633,-781,data/entities/items/kantele.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1129,-1018,data/entities/items/pickup/egg_worm.xml
-1138,-1016,data/entities/items/pickup/egg_worm.xml
798,-1085,data/entities/items/books/book_00.xml
780,-1082,data/entities/items/orbs/orb_00.xml
780,-1071,data/entities/items/orbs/orb_00.xml
-2434,-207,data/entities/items/pickup/evil_eye.xml
-2434,-207,data/entities/items/pickup/evil_eye.xml
-1041,-471,data/entities/items/pickup/egg_worm.xml
-1328,-209,data/entities/items/books/book_tree.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1250,571,data/entities/items/pickup/potion.xml
-215,536,data/entities/items/pickup/heart.xml
100,175,data/entities/items/wands/level_01/wand_011.xml
-1864,624,data/entities/items/pickup/heart.xml
-1906,915,data/entities/items/pickup/heart_fullhp.xml
-1250,571,data/entities/items/pickup/potion.xml
-845,870,data/entities/items/pickup/heart.xml
-215,536,data/entities/items/pickup/heart.xml
355,718,data/entities/items/pickup/heart.xml
370,951,data/entities/items/pickup/potion.xml
220,692,data/entities/items/wand_level_01.xml
1265,637,data/entities/items/pickup/chest_random.xml
1825,710,data/entities/items/pickup/chest_random.xml
2339,840,data/entities/items/books/book_corpse.xml
4351,899,data/entities/items/orbs/orb_07.xml
4351,888,data/entities/items/orbs/orb_07.xml
4321,888,data/entities/items/books/book_07.xml
-497,1374,data/entities/items/pickup/heart_fullhp_temple.xml
-465,1374,data/entities/items/pickup/spell_refresh.xml
-22,1410,data/entities/items/pickup/perk.xml
73,1383,data/entities/items/pickup/perk_reroll.xml
18,1410,data/entities/items/pickup/perk.xml
-2,1410,data/entities/items/pickup/perk.xml
370,951,data/entities/items/pickup/potion.xml
-2385,2099,data/entities/items/pickup/potion.xml
-2525,2069,data/entities/items/pickup/brimstone.xml
-2455,2065,data/entities/items/pickup/heart.xml
-2395,2029,data/entities/items/pickup/potion.xml
-2365,1809,data/entities/items/pickup/potion.xml
-2595,1947,data/entities/items/wand_unshuffle_01.xml
-2655,1769,data/entities/items/pickup/potion.xml
-685,1936,data/entities/items/wand_unshuffle_01.xml
-195,1997,data/entities/items/pickup/chest_random.xml
1045,1687,data/entities/items/pickup/chest_random.xml
955,1939,data/entities/items/pickup/heart.xml
995,1596,data/entities/items/wand_level_02_better.xml
1635,1665,data/entities/items/pickup/heart.xml
3473,1911,data/entities/items/orbs/orb_03.xml
3473,1900,data/entities/items/orbs/orb_03.xml
3503,1891,data/entities/items/books/book_03.xml
